TagId,TagName,Area,IOType,Unit,ApplicationName,InstrumentDescription,MinimumRange,MaximumRange,Low,High,CreatedAt,UpdatedAt
JI_109,Irc 4 Current ,MILL HOUSE,AI,Amps,Mill_House.JI_109,IRC 4 CURRENT ,0,80,,60,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_110,SC Current ,MILL HOUSE,AI,Amps,Mill_House.JI_110,SC CURRENT ,0,140,,115,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_ACC,ACC Current ,MILL HOUSE,AI,Amps,Mill_House.JI_ACC,AUX CANE CARRIER CURRENT ,0,186,50,135,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_CC_KI,MC Kicker Current,MILL HOUSE,AI,Amps,Mill_House.JI_CC_KI,MAIN CARRIER KICKER CURRENT,0,200,100,170,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_Mill04,4Th Mill Current  ,MILL HOUSE,AI,Amps,Mill_House.JI_Mill04,4TH MILL CURRENT  ,0,930,350,850,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_ML_10,Equilizer Current ,MILL HOUSE,AI,Amps,Mill_House.JI_ML_10,EQUILIZER CURRENT ,0,60,,12,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_ML_102,CD- 1 Current,MILL HOUSE,AI,Amps,Mill_House.JI_ML_102,CARDIAN DRUM 1 CURRENT,0,200,,108,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_ML_105,SM-1 ,MILL HOUSE,AI,Amps,Mill_House.JI_ML_105,SM-1 ,0,250,,225,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_ML_106,SM-2,MILL HOUSE,AI,Amps,Mill_House.JI_ML_106,SM-2,0,250,,225,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_SCBC,SJ Pump 4 Current ,MILL HOUSE,AI,Amps,Mill_House.JI_SCBC,SJ PUMP 4 CURRENT ,0,195,,160,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_SJL,Sec Juice Line Current ,MILL HOUSE,AI,Amp,Mill_House.JI_SJL,SECONDERY JUICE LINE CURRENT ,0,64,,54,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_SJP1,SJ Pump 1 Current ,MILL HOUSE,AI,Amps,Mill_House.JI_SJP1,SJ PUMP 1 CURRENT ,0,211,,160,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_SJP2,SJ Pump 2 Current ,MILL HOUSE,AI,Amps,Mill_House.JI_SJP2,SJ PUMP 2 CURRENT ,0,211,,160,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
JI_SJP3,SJ Pump 3 Current ,MILL HOUSE,AI,Amps,Mill_House.JI_SJP3,SJ PUMP 3 CURRENT ,0,211,,160,2024-12-22 21:42:22.817000000,2024-12-22 21:42:22.817000000
